,pindex,1,2,3,4,5
432,424,ambipom,Ambipom,エテボース,Etebōsu,Eteboth
433,425,drifloon,Drifloon,フワンテ,Fuwante,Fuwante
434,426,drifblim,Drifblim,フワライド,Fuwaraido,Fuwaride
435,427,buneary,Buneary,ミミロル,Mimiroru,Mimirol
436,428,lopunny,Lopunny,ミミロップ,Mimiroppu,Mimilop
437,429,mismagius,Mismagius,ムウマージ,Mūmāji,Mumargi
438,430,honchkrow,Honchkrow,ドンカラス,Donkarasu,Dongkarasu
439,431,glameow,Glameow,ニャルマー,Nyarumā,Nyarmar
440,432,purugly,Purugly,ブニャット,Bunyatto,Bunyatto
441,433,chingling,Chingling,リーシャン,Rīshan,Lisyan
442,434,stunky,Stunky,スカンプー,Sukanpū,Skunpuu
443,435,skuntank,Skuntank,スカタンク,Sukatanku,Skutank
444,436,bronzor,Bronzor,ドーミラー,Dōmirā,Dohmirror
445,437,bronzong,Bronzong,ドータクン,Dōtakun,Dohtakun
446,438,bonsly,Bonsly,ウソハチ,Usohachi,Usohachi
447,439,mime jr.,Mime Jr.,マネネ,Manene,Manene
448,440,happiny,Happiny,ピンプク,Pinpuku,Pinpuku
449,441,chatot,Chatot,ペラップ,Perappu,Perap
450,442,spiritomb,Spiritomb,ミカルゲ,Mikaruge,Mikaruge
451,443,gible,Gible,フカマル,Fukamaru,Fukamaru
452,444,gabite,Gabite,ガバイト,Gabaito,Gabite
453,445,garchomp,Garchomp,ガブリアス,Gaburiasu,Gaburias
454,446,munchlax,Munchlax,ゴンベ,Gonbe,Gonbe
455,447,riolu,Riolu,リオル,Rioru,Riolu
456,448,lucario,Lucario,ルカリオ,Rukario,Lucario
457,449,hippopotas,Hippopotas,ヒポポタス,Hipopotasu,Hippopotas
458,450,hippowdon,Hippowdon,カバルドン,Kabarudon,Kabaldon
459,451,skorupi,Skorupi,スコルピ,Sukorupi,Scorupi
460,452,drapion,Drapion,ドラピオン,Dorapion,Dorapion
461,453,croagunk,Croagunk,グレッグル,Guregguru,Gureggru
462,454,toxicroak,Toxicroak,ドクロッグ,Dokuroggu,Dokurog
463,455,carnivine,Carnivine,マスキッパ,Masukippa,Muskippa
464,456,finneon,Finneon,ケイコウオ,Keiko'uo,Keikouo
465,457,lumineon,Lumineon,ネオラント,Neoranto,Neolant
466,458,mantyke,Mantyke,タマンタ,Tamanta,Tamanta
467,459,snover,Snover,ユキカブリ,Yukikaburi,Yukikaburi
468,460,abomasnow,Abomasnow,ユキノオー,Yukinoō,Yukinooh
469,461,weavile,Weavile,マニューラ,Manyūra,Manyula
470,462,magnezone,Magnezone,ジバコイル,Jibakoiru,Jibacoil
471,463,lickilicky,Lickilicky,ベロベルト,Beroberuto,Berobelt
472,464,rhyperior,Rhyperior,ドサイドン,Dosaidon,Dosidon
473,465,tangrowth,Tangrowth,モジャンボ,Mojanbo,Mojumbo
474,466,electivire,Electivire,エレキブル,Erekiburu,Elekible
475,467,magmortar,Magmortar,ブーバーン,Būbān,Booburn
476,468,togekiss,Togekiss,トゲキッス,Togekissu,Togekiss
477,469,yanmega,Yanmega,メガヤンマ,Megayanma,Megayanma
478,470,leafeon,Leafeon,リーフィア,Rīfia,Leafia
479,471,glaceon,Glaceon,グレイシア,Gureishia,Glacia
480,472,gliscor,Gliscor,グライオン,Guraion,Glion
481,473,mamoswine,Mamoswine,マンムー,Manmū,Mammoo
482,474,porygon-z,Porygon-Z,ポリゴンＺ,Porigon Zetto,Porygon-Z
483,475,gallade,Gallade,エルレイド,Erureido,Erureido
484,476,probopass,Probopass,ダイノーズ,Dainōzu,Dainose
485,477,dusknoir,Dusknoir,ヨノワール,Yonowāru,Yonoir
486,478,froslass,Froslass,ユキメノコ,Yukimenoko,Yukimenoko
487,479,rotom,Rotom,ロトム,Rotomu,Rotom
488,480,uxie,Uxie,ユクシー,Yukushī,Yuxie
489,481,mesprit,Mesprit,エムリット,Emuritto,Emrit
490,482,azelf,Azelf,アグノム,Agunomu,Agnome
491,483,dialga,Dialga,ディアルガ,Diaruga,Dialga
492,484,palkia,Palkia,パルキア,Parukia,Palkia
493,485,heatran,Heatran,ヒードラン,Hīdoran,Heatran
494,486,regigigas,Regigigas,レジギガス,Rejigigasu,Regigigas
495,487,giratina,Giratina,ギラティナ,Giratina,Giratina
496,488,cresselia,Cresselia,クレセリア,Kureseria,Cresselia
497,489,phione,Phione,フィオネ,Fione,Phione
498,490,manaphy,Manaphy,マナフィ,Manafi,Manaphy
499,491,darkrai,Darkrai,ダークライ,Dākurai,Darkrai
500,492,shaymin,Shaymin,シェイミ,Sheimi,Shaymin
501,493,arceus,Arceus,アルセウス,Aruseusu,Arceus
502,Generation V,,,,,
503,Ndex,ms,English,Japanese,,
504,Kana,hepburn,Trademarked,,,
505,494,victini,Victini,ビクティニ,Bikutini,Victini
506,495,snivy,Snivy,ツタージャ,Tsutāja,Tsutarja
507,496,servine,Servine,ジャノビー,Janobī,Janovy
508,497,serperior,Serperior,ジャローダ,Jarōda,Jalorda
509,498,tepig,Tepig,ポカブ,Pokabu,Pokabu
510,499,pignite,Pignite,チャオブー,Chaobū,Chaoboo
511,500,emboar,Emboar,エンブオー,Enbuō,Enbuoh
512,501,oshawott,Oshawott,ミジュマル,Mijumaru,Mijumaru
513,502,dewott,Dewott,フタチマル,Futachimaru,Futachimaru
514,503,samurott,Samurott,ダイケンキ,Daikenki,Daikenki
515,504,patrat,Patrat,ミネズミ,Minezumi,Minezumi
516,505,watchog,Watchog,ミルホッグ,Miruhoggu,Miruhog
517,506,lillipup,Lillipup,ヨーテリー,Yōterī,Yorterrie
518,507,herdier,Herdier,ハーデリア,Hāderia,Herderrie
519,508,stoutland,Stoutland,ムーランド,Mūrando,Mooland
520,509,purrloin,Purrloin,チョロネコ,Choroneko,Choroneko
521,510,liepard,Liepard,レパルダス,Reparudasu,Lepardas
522,511,pansage,Pansage,ヤナップ,Yanappu,Yanappu
523,512,simisage,Simisage,ヤナッキー,Yanakkī,Yanakkie
524,513,pansear,Pansear,バオップ,Baoppu,Baoppu
525,514,simisear,Simisear,バオッキー,Baokkī,Baokkie
526,515,panpour,Panpour,ヒヤップ,Hiyappu,Hiyappu
527,516,simipour,Simipour,ヒヤッキー,Hiyakkī,Hiyakkie
528,517,munna,Munna,ムンナ,Munna,Munna
529,518,musharna,Musharna,ムシャーナ,Mushāna,Musharna
530,519,pidove,Pidove,マメパト,Mamepato,Mamepato
531,520,tranquill,Tranquill,ハトーボー,Hatōbō,Hatoboh
532,521,unfezant,Unfezant,ケンホロウ,Kenhorō,Kenhallow
533,522,blitzle,Blitzle,シママ,Shimama,Shimama
534,523,zebstrika,Zebstrika,ゼブライカ,Zeburaika,Zebraika
535,524,roggenrola,Roggenrola,ダンゴロ,Dangoro,Dangoro
536,525,boldore,Boldore,ガントル,Gantoru,Gantle
537,526,gigalith,Gigalith,ギガイアス,Gigaiasu,Gigaiath
538,527,woobat,Woobat,コロモリ,Koromori,Koromori
539,528,swoobat,Swoobat,ココロモリ,Kokoromori,Kokoromori
540,529,drilbur,Drilbur,モグリュー,Moguryū,Mogurew
541,530,excadrill,Excadrill,ドリュウズ,Doryūzu,Doryuzu
542,531,audino,Audino,タブンネ,Tabunne,Tabunne
543,532,timburr,Timburr,ドッコラー,Dokkorā,Dokkorer
544,533,gurdurr,Gurdurr,ドテッコツ,Dotekkotsu,Dotekkotsu
545,534,conkeldurr,Conkeldurr,ローブシン,Rōbushin,Roubushin
546,535,tympole,Tympole,オタマロ,Otamaro,Otamaro
547,536,palpitoad,Palpitoad,ガマガル,Gamagaru,Gamagaru
548,537,seismitoad,Seismitoad,ガマゲロゲ,Gamageroge,Gamageroge
549,538,throh,Throh,ナゲキ,Nageki,Nageki
550,539,sawk,Sawk,ダゲキ,Dageki,Dageki
551,540,sewaddle,Sewaddle,クルミル,Kurumiru,Kurumiru
552,541,swadloon,Swadloon,クルマユ,Kurumayu,Kurumayu
553,542,leavanny,Leavanny,ハハコモリ,Hahakomori,Hahakomori
554,543,venipede,Venipede,フシデ,Fushide,Fushide
555,544,whirlipede,Whirlipede,ホイーガ,Hoīga,Wheega
556,545,scolipede,Scolipede,ペンドラー,Pendorā,Pendror
557,546,cottonee,Cottonee,モンメン,Monmen,Monmen
558,547,whimsicott,Whimsicott,エルフーン,Erufūn,Elfuun
559,548,petilil,Petilil,チュリネ,Churine,Churine
560,549,lilligant,Lilligant,ドレディア,Doredia,Dredear
561,550,basculin,Basculin,バスラオ,Basurao,Bassrao
562,551,sandile,Sandile,メグロコ,Meguroko,Meguroco
563,552,krokorok,Krokorok,ワルビル,Warubiru,Waruvile
564,553,krookodile,Krookodile,ワルビアル,Warubiaru,Waruvial
565,554,darumaka,Darumaka,ダルマッカ,Darumakka,Darumakka
566,555,darmanitan,Darmanitan,ヒヒダルマ,Hihidaruma,Hihidaruma
567,556,maractus,Maractus,マラカッチ,Marakatchi,Maracacchi
568,557,dwebble,Dwebble,イシズマイ,Ishizumai,Ishizumai
569,558,crustle,Crustle,イワパレス,Iwaparesu,Iwapalace
570,559,scraggy,Scraggy,ズルッグ,Zuruggu,Zuruggu
571,560,scrafty,Scrafty,ズルズキン,Zuruzukin,Zuruzukin
572,561,sigilyph,Sigilyph,シンボラー,Shinborā,Symboler
573,562,yamask,Yamask,デスマス,Desumasu,Desumasu
574,563,cofagrigus,Cofagrigus,デスカーン,Desukān,Desukarn
575,564,tirtouga,Tirtouga,プロトーガ,Purotōga,Protoga
576,565,carracosta,Carracosta,アバゴーラ,Abagōra,Abagoura
577,566,archen,Archen,アーケン,Āken,Archen
578,567,archeops,Archeops,アーケオス,Ākeosu,Archeos
579,568,trubbish,Trubbish,ヤブクロン,Yabukuron,Yabukuron
580,569,garbodor,Garbodor,ダストダス,Dasutodasu,Dustdas
581,570,zorua,Zorua,ゾロア,Zoroa,Zorua
582,571,zoroark,Zoroark,ゾロアーク,Zoroāku,Zoroark
583,572,minccino,Minccino,チラーミィ,Chirāmī,Chillarmy
584,573,cinccino,Cinccino,チラチーノ,Chirachīno,Chillaccino
585,574,gothita,Gothita,ゴチム,Gochimu,Gothimu
586,575,gothorita,Gothorita,ゴチミル,Gochimiru,Gothimiru
587,576,gothitelle,Gothitelle,ゴチルゼル,Gochiruzeru,Gothiruselle
588,577,solosis,Solosis,ユニラン,Yuniran,Uniran
589,578,duosion,Duosion,ダブラン,Daburan,Doublan
590,579,reuniclus,Reuniclus,ランクルス,Rankurusu,Lanculus
591,580,ducklett,Ducklett,コアルヒー,Koaruhī,Koaruhie
592,581,swanna,Swanna,スワンナ,Suwanna,Swanna
593,582,vanillite,Vanillite,バニプッチ,Baniputchi,Vanipeti
594,583,vanillish,Vanillish,バニリッチ,Baniritchi,Vanirich
595,584,vanilluxe,Vanilluxe,バイバニラ,Baibanira,Baivanilla
596,585,deerling,Deerling,シキジカ,Shikijika,Shikijika
597,586,sawsbuck,Sawsbuck,メブキジカ,Mebukijika,Mebukijika
598,587,emolga,Emolga,エモンガ,Emonga,Emonga
599,588,karrablast,Karrablast,カブルモ,Kaburumo,Kaburumo
600,589,escavalier,Escavalier,シュバルゴ,Shubarugo,Chevargo
601,590,foongus,Foongus,タマゲタケ,Tamagetake,Tamagetake
602,591,amoonguss,Amoonguss,モロバレル,Morobareru,Morobareru
603,592,frillish,Frillish,プルリル,Pururiru,Pururill
604,593,jellicent,Jellicent,ブルンゲル,Burungeru,Burungel
605,594,alomomola,Alomomola,ママンボウ,Mamanbō,Mamanbou
606,595,joltik,Joltik,バチュル,Bachuru,Bachuru
607,596,galvantula,Galvantula,デンチュラ,Denchura,Dentula
608,597,ferroseed,Ferroseed,テッシード,Tesshīdo,Tesseed
609,598,ferrothorn,Ferrothorn,ナットレイ,Nattorei,Nutrey
610,599,klink,Klink,ギアル,Giaru,Giaru
611,600,klang,Klang,ギギアル,Gigiaru,Gigiaru
612,601,klinklang,Klinklang,ギギギアル,Gigigiaru,Gigigiaru
613,602,tynamo,Tynamo,シビシラス,Shibishirasu,Shibishirasu
614,603,eelektrik,Eelektrik,シビビール,Shibibīru,Shibibeel
615,604,eelektross,Eelektross,シビルドン,Shibirudon,Shibirudon
616,605,elgyem,Elgyem,リグレー,Rigurē,Ligray
617,606,beheeyem,Beheeyem,オーベム,Ōbemu,Ohbem
618,607,litwick,Litwick,ヒトモシ,Hitomoshi,Hitomoshi
619,608,lampent,Lampent,ランプラー,Ranpurā,Lampler
620,609,chandelure,Chandelure,シャンデラ,Shandera,Chandela
621,610,axew,Axew,キバゴ,Kibago,Kibago
622,611,fraxure,Fraxure,オノンド,Onondo,Onondo
623,612,haxorus,Haxorus,オノノクス,Ononokusu,Ononokus
624,613,cubchoo,Cubchoo,クマシュン,Kumashun,Kumasyun
625,614,beartic,Beartic,ツンベアー,Tsunbeā,Tunbear
626,615,cryogonal,Cryogonal,フリージオ,Furījio,Freegeo
627,616,shelmet,Shelmet,チョボマキ,Chobomaki,Chobomaki
628,617,accelgor,Accelgor,アギルダー,Agirudā,Agilder
629,618,stunfisk,Stunfisk,マッギョ,Maggyo,Maggyo
630,619,mienfoo,Mienfoo,コジョフー,Kojofū,Kojofu
631,620,mienshao,Mienshao,コジョンド,Kojondo,Kojondo
632,621,druddigon,Druddigon,クリムガン,Kurimugan,Crimgan
633,622,golett,Golett,ゴビット,Gobitto,Gobit
634,623,golurk,Golurk,ゴルーグ,Gorūgu,Goloog
635,624,pawniard,Pawniard,コマタナ,Komatana,Komatana
636,625,bisharp,Bisharp,キリキザン,Kirikizan,Kirikizan
637,626,bouffalant,Bouffalant,バッフロン,Baffuron,Buffron
638,627,rufflet,Rufflet,ワシボン,Washibon,Washibon
639,628,braviary,Braviary,ウォーグル,Wōguru,Warrgle
640,629,vullaby,Vullaby,バルチャイ,Baruchai,Valchai
641,630,mandibuzz,Mandibuzz,バルジーナ,Barujīna,Vulgina
642,631,heatmor,Heatmor,クイタラン,Kuitaran,Kuitaran
643,632,durant,Durant,アイアント,Aianto,Aiant
644,633,deino,Deino,モノズ,Monozu,Monozu
645,634,zweilous,Zweilous,ジヘッド,Jiheddo,Dihead
646,635,hydreigon,Hydreigon,サザンドラ,Sazandora,Sazandora
647,636,larvesta,Larvesta,メラルバ,Meraruba,Merlarva
648,637,volcarona,Volcarona,ウルガモス,Urugamosu,Ulgamoth
649,638,cobalion,Cobalion,コバルオン,Kobaruon,Cobalon
650,639,terrakion,Terrakion,テラキオン,Terakion,Terrakion
651,640,virizion,Virizion,ビリジオン,Birijion,Virizion
652,641,tornadus,Tornadus,トルネロス,Torunerosu,Tornelos
653,642,thundurus,Thundurus,ボルトロス,Borutorosu,Voltolos
654,643,reshiram,Reshiram,レシラム,Reshiramu,Reshiram
655,644,zekrom,Zekrom,ゼクロム,Zekuromu,Zekrom
656,645,landorus,Landorus,ランドロス,Randorosu,Landlos
657,646,kyurem,Kyurem,キュレム,Kyuremu,Kyurem
658,647,keldeo,Keldeo,ケルディオ,Kerudio,Keldeo
659,648,meloetta,Meloetta,メロエッタ,Meroetta,Meloetta
660,649,genesect,Genesect,ゲノセクト,Genosekuto,Genesect
661,Generation VI,,,,,
662,Ndex,ms,English,Japanese,,
663,Kana,hepburn,Trademarked,,,
664,650,chespin,Chespin,ハリマロン,Harimaron,Harimaron
665,651,quilladin,Quilladin,ハリボーグ,Haribōgu,Hariborg
666,652,chesnaught,Chesnaught,ブリガロン,Burigaron,Brigarron
667,653,fennekin,Fennekin,フォッコ,Fokko,Fokko
668,654,braixen,Braixen,テールナー,Tērunā,Tairenar
669,655,delphox,Delphox,マフォクシー,Mafokushī,Mahoxy
670,656,froakie,Froakie,ケロマツ,Keromatsu,Keromatsu
671,657,frogadier,Frogadier,ゲコガシラ,Gekogashira,Gekogashira
672,658,greninja,Greninja,ゲッコウガ,Gekkōga,Gekkouga
673,659,bunnelby,Bunnelby,ホルビー,Horubī,Horubee
674,660,diggersby,Diggersby,ホルード,Horūdo,Horudo
675,661,fletchling,Fletchling,ヤヤコマ,Yayakoma,Yayakoma
676,662,fletchinder,Fletchinder,ヒノヤコマ,Hinoyakoma,Hinoyakoma
677,663,talonflame,Talonflame,ファイアロー,Faiarō,Fiarrow
678,664,scatterbug,Scatterbug,コフキムシ,Kofukimushi,Kofukimushi
679,665,spewpa,Spewpa,コフーライ,Kofūrai,Kofuurai
680,666,vivillon,Vivillon,ビビヨン,Bibiyon,Viviyon
681,667,litleo,Litleo,シシコ,Shishiko,Shishiko
682,668,pyroar,Pyroar,カエンジシ,Kaenjishi,Kaenjishi
683,669,flabébé,Flabébé,フラベベ,Furabebe,Flabebe
684,670,floette,Floette,フラエッテ,Furaette,Floette
685,671,florges,Florges,フラージェス,Furājesu,Florges
686,672,skiddo,Skiddo,メェークル,Mēkuru,Meecle
687,673,gogoat,Gogoat,ゴーゴート,Gōgōto,Gogoat
688,674,pancham,Pancham,ヤンチャム,Yanchamu,Yancham
689,675,pangoro,Pangoro,ゴロンダ,Goronda,Goronda
690,676,furfrou,Furfrou,トリミアン,Torimian,Trimmien
691,677,espurr,Espurr,ニャスパー,Nyasupā,Nyasper
692,678,meowstic,Meowstic,ニャオニクス,Nyaonikusu,Nyaonix
693,679,honedge,Honedge,ヒトツキ,Hitotsuki,Hitotsuki
694,680,doublade,Doublade,ニダンギル,Nidangiru,Nidangill
695,681,aegislash,Aegislash,ギルガルド,Girugarudo,Gillgard
696,682,spritzee,Spritzee,シュシュプ,Shushupu,Shushupu
697,683,aromatisse,Aromatisse,フレフワン,Furefuwan,Frefuwan
698,684,swirlix,Swirlix,ペロッパフ,Peroppafu,Peroppafu
699,685,slurpuff,Slurpuff,ペロリーム,Perorīmu,Peroream
700,686,inkay,Inkay,マーイーカ,Māīka,Maaiika
701,687,malamar,Malamar,カラマネロ,Karamanero,Calamanero
702,688,binacle,Binacle,カメテテ,Kametete,Kametete
703,689,barbaracle,Barbaracle,ガメノデス,Gamenodesu,Gamenodes
704,690,skrelp,Skrelp,クズモー,Kuzumō,Kuzumo
705,691,dragalge,Dragalge,ドラミドロ,Doramidoro,Dramidoro
706,692,clauncher,Clauncher,ウデッポウ,Udeppō,Udeppou
707,693,clawitzer,Clawitzer,ブロスター,Burosutā,Bloster
708,694,helioptile,Helioptile,エリキテル,Erikiteru,Erikiteru
709,695,heliolisk,Heliolisk,エレザード,Erezādo,Elezard
710,696,tyrunt,Tyrunt,チゴラス,Chigorasu,Chigoras
711,697,tyrantrum,Tyrantrum,ガチゴラス,Gachigorasu,Gachigoras
712,698,amaura,Amaura,アマルス,Amarusu,Amarus
713,699,aurorus,Aurorus,アマルルガ,Amaruruga,Amaruruga
714,700,sylveon,Sylveon,ニンフィア,Ninfia,Nymphia
715,701,hawlucha,Hawlucha,ルチャブル,Ruchaburu,Luchabull
716,702,dedenne,Dedenne,デデンネ,Dedenne,Dedenne
717,703,carbink,Carbink,メレシー,Mereshī,Melecie
718,704,goomy,Goomy,ヌメラ,Numera,Numera
719,705,sliggoo,Sliggoo,ヌメイル,Numeiru,Numeil
720,706,goodra,Goodra,ヌメルゴン,Numerugon,Numelgon
721,707,klefki,Klefki,クレッフィ,Kureffi,Cleffy
722,708,phantump,Phantump,ボクレー,Bokurē,Bokurei
723,709,trevenant,Trevenant,オーロット,Ōrotto,Ohrot
724,710,pumpkaboo,Pumpkaboo,バケッチャ,Baketcha,Bakeccha
725,711,gourgeist,Gourgeist,パンプジン,Panpujin,Pumpjin
726,712,bergmite,Bergmite,カチコール,Kachikōru,Kachikohru
727,713,avalugg,Avalugg,クレベース,Kurebēsu,Crebase
728,714,noibat,Noibat,オンバット,Onbatto,Onbat
729,715,noivern,Noivern,オンバーン,Onbān,Onvern
730,716,xerneas,Xerneas,ゼルネアス,Zeruneasu,Xerneas
731,717,yveltal,Yveltal,イベルタル,Iberutaru,Yveltal
732,718,zygarde,Zygarde,ジガルデ,Jigarude,Zygarde
733,719,diancie,Diancie,ディアンシー,Dianshī,Diancie
734,720,hoopa,Hoopa,フーパ,Fūpa,Hoopa
735,721,volcanion,Volcanion,ボルケニオン,Borukenion,Volcanion
736,Generation VII,,,,,
737,Ndex,ms,English,Japanese,,
738,Kana,hepburn,Trademarked,,,
739,722,rowlet,Rowlet,モクロー,Mokurō,Mokuroh
740,723,dartrix,Dartrix,フクスロー,Fukusurō,Fukuthrow
741,724,decidueye,Decidueye,ジュナイパー,Junaipā,Junaiper
742,725,litten,Litten,ニャビー,Nyabī,Nyabby
743,726,torracat,Torracat,ニャヒート,Nyahīto,Nyaheat
744,727,incineroar,Incineroar,ガオガエン,Gaogaen,Gaogaen
745,728,popplio,Popplio,アシマリ,Ashimari,Ashimari
746,729,brionne,Brionne,オシャマリ,Oshamari,Osyamari
747,730,primarina,Primarina,アシレーヌ,Ashirēnu,Ashirene
748,731,pikipek,Pikipek,ツツケラ,Tsutsukera,Tsutsukera
749,732,trumbeak,Trumbeak,ケララッパ,Kerarappa,Kerarappa
750,733,toucannon,Toucannon,ドデカバシ,Dodekabashi,Dodekabashi
751,734,yungoos,Yungoos,ヤングース,Yangūsu,Youngoose
752,735,gumshoos,Gumshoos,デカグース,Dekagūsu,Dekagoose
753,736,grubbin,Grubbin,アゴジムシ,Agojimushi,Agojimushi
754,737,charjabug,Charjabug,デンヂムシ,Denjimushi,Dendimushi
755,738,vikavolt,Vikavolt,クワガノン,Kuwaganon,Kuwagannon
756,739,crabrawler,Crabrawler,マケンカニ,Makenkani,Makenkani
757,740,crabominable,Crabominable,ケケンカニ,Kekenkani,Kekenkani
758,741,oricorio,Oricorio,オドリドリ,Odoridori,Odoridori
759,742,cutiefly,Cutiefly,アブリー,Aburī,Abuly
760,743,ribombee,Ribombee,アブリボン,Aburibon,Aburibbon
761,744,rockruff,Rockruff,イワンコ,Iwanko,Iwanko
762,745,lycanroc,Lycanroc,ルガルガン,Rugarugan,Lugarugan
763,746,wishiwashi,Wishiwashi,ヨワシ,Yowashi,Yowashi
764,747,mareanie,Mareanie,ヒドイデ,Hidoide,Hidoide
765,748,toxapex,Toxapex,ドヒドイデ,Dohidoide,Dohidoide
766,749,mudbray,Mudbray,ドロバンコ,Dorobanko,Dorobanko
767,750,mudsdale,Mudsdale,バンバドロ,Banbadoro,Banbadoro
768,751,dewpider,Dewpider,シズクモ,Shizukumo,Shizukumo
769,752,araquanid,Araquanid,オニシズクモ,Onishizukumo,Onishizukumo
770,753,fomantis,Fomantis,カリキリ,Karikiri,Karikiri
771,754,lurantis,Lurantis,ラランテス,Rarantesu,Lalantes
772,755,morelull,Morelull,ネマシュ,Nemashu,Nemasyu
773,756,shiinotic,Shiinotic,マシェード,Mashēdo,Mashade
774,757,salandit,Salandit,ヤトウモリ,Yatōmori,Yatoumori
775,758,salazzle,Salazzle,エンニュート,Ennyūto,Ennewt
776,759,stufful,Stufful,ヌイコグマ,Nuikoguma,Nuikoguma
777,760,bewear,Bewear,キテルグマ,Kiteruguma,Kiteruguma
778,761,bounsweet,Bounsweet,アマカジ,Amakaji,Amakaji
779,762,steenee,Steenee,アママイコ,Amamaiko,Amamaiko
780,763,tsareena,Tsareena,アマージョ,Amājo,Amajo
781,764,comfey,Comfey,キュワワー,Kyuwawā,Cuwawa
782,765,oranguru,Oranguru,ヤレユータン,Yareyūtan,Yareyuutan
783,766,passimian,Passimian,ナゲツケサル,Nagetsukesaru,Nagetukesaru
784,767,wimpod,Wimpod,コソクムシ,Kosokumushi,Kosokumushi
785,768,golisopod,Golisopod,グソクムシャ,Gusokumusha,Gusokumusha
786,769,sandygast,Sandygast,スナバァ,Sunabā,Sunaba
787,770,palossand,Palossand,シロデスナ,Shirodesuna,Sirodethna
788,771,pyukumuku,Pyukumuku,ナマコブシ,Namakobushi,Namakobushi
789,772,type: null,Type: Null,タイプ：ヌル,Taipu:Nuru,Type: Null
790,773,silvally,Silvally,シルヴァディ,Shiruvadi,Silvady
791,774,minior,Minior,メテノ,Meteno,Meteno
792,775,komala,Komala,ネッコアラ,Nekkoara,Nekkoara
793,776,turtonator,Turtonator,バクガメス,Bakugamesu,Bakugames
794,777,togedemaru,Togedemaru,トゲデマル,Togedemaru,Togedemaru
795,778,mimikyu,Mimikyu,ミミッキュ,Mimikkyu,Mimikkyu
796,779,bruxish,Bruxish,ハギギシリ,Hagigishiri,Hagigishiri
797,780,drampa,Drampa,ジジーロン,Jijīron,Jijilong
798,781,dhelmise,Dhelmise,ダダリン,Dadarin,Dadarin
799,782,jangmo-o,Jangmo-o,ジャラコ,Jarako,Jyarako
800,783,hakamo-o,Hakamo-o,ジャランゴ,Jarango,Jyarango
801,784,kommo-o,Kommo-o,ジャラランガ,Jararanga,Jyararanga
802,785,tapu koko,Tapu Koko,カプ・コケコ,Kapu Kokeko,Kapu-Kokeko
803,786,tapu lele,Tapu Lele,カプ・テテフ,Kapu Tetefu,Kapu-Tetefu
804,787,tapu bulu,Tapu Bulu,カプ・ブルル,Kapu Bururu,Kapu-Bulul
805,788,tapu fini,Tapu Fini,カプ・レヒレ,Kapu Rehire,Kapu-Rehire
806,789,cosmog,Cosmog,コスモッグ,Kosumoggu,Cosmog
807,790,cosmoem,Cosmoem,コスモウム,Kosumoumu,Cosmovum
808,791,solgaleo,Solgaleo,ソルガレオ,Sorugareo,Solgaleo
809,792,lunala,Lunala,ルナアーラ,Runaāra,Lunala
810,793,nihilego,Nihilego,ウツロイド,Utsuroido,Uturoid
811,794,buzzwole,Buzzwole,マッシブーン,Masshibūn,Massivoon
812,795,pheromosa,Pheromosa,フェローチェ,Ferōche,Pheroache
813,796,xurkitree,Xurkitree,デンジュモク,Denjumoku,Denjyumoku
814,797,celesteela,Celesteela,テッカグヤ,Tekkaguya,Tekkaguya
815,798,kartana,Kartana,カミツルギ,Kamitsurugi,Kamiturugi
816,799,guzzlord,Guzzlord,アクジキング,Akujikingu,Akuziking
817,800,necrozma,Necrozma,ネクロズマ,Nekurozuma,Necrozma
818,801,magearna,Magearna,マギアナ,Magiana,Magearna
819,802,marshadow,Marshadow,マーシャドー,Māshadō,Marshadow
820,803,poipole,Poipole,ベベノム,Bebenomu,Bevenom
821,804,naganadel,Naganadel,アーゴヨン,Āgoyon,Agoyon
822,805,stakataka,Stakataka,ツンデツンデ,Tsundetsunde,Tundetunde
823,806,blacephalon,Blacephalon,ズガドーン,Zugadōn,Zugadoon
824,807,zeraora,Zeraora,ゼラオラ,Zeraora,Zeraora
825,808,meltan,Meltan,メルタン,Merutan,Meltan
826,809,melmetal,Melmetal,メルメタル,Merumetaru,Melmetal
827,Generation VIII,,,,,
828,Ndex,ms,English,Japanese,,
829,Kana,hepburn,Trademarked,,,
830,810,grookey,Grookey,サルノリ,Sarunori,Sarunori
831,811,thwackey,Thwackey,バチンキー,Bachinkī,Bachinkey
832,812,rillaboom,Rillaboom,ゴリランダー,Gorirandā,Gorirander
833,813,scorbunny,Scorbunny,ヒバニー,Hibanī,Hibanny
834,814,raboot,Raboot,ラビフット,Rabifutto,Rabbifuto
835,815,cinderace,Cinderace,エースバーン,Ēsubān,Aceburn
836,816,sobble,Sobble,メッソン,Messon,Messon
837,817,drizzile,Drizzile,ジメレオン,Jimereon,Jimereon
838,818,inteleon,Inteleon,インテレオン,Intereon,Intereon
839,819,skwovet,Skwovet,ホシガリス,Hoshigarisu,Hoshigarisu
840,820,greedent,Greedent,ヨクバリス,Yokubarisu,Yokubarisu
841,821,rookidee,Rookidee,ココガラ,Kokogara,Kokogara
842,822,corvisquire,Corvisquire,アオガラス,Aogarasu,Aogarasu
843,823,corviknight,Corviknight,アーマーガア,Āmāgā,Armorga
844,824,blipbug,Blipbug,サッチムシ,Satchimushi,Sacchimushi
845,825,dottler,Dottler,レドームシ,Redōmushi,Redomushi
846,826,orbeetle,Orbeetle,イオルブ,Iorubu,Eolb
