name,pokedex_num,clear_path,blacked_path,tier,generation,de,fr,jp,ko,zh,en,es,it,hi,shiny_path
ducklett,580.0,./gifs/clear/ducklett.gif,./gifs/blacked/ducklett.gif,0.0,unova,piccolente,couaneton,コアルヒー,꼬지보리,鴨寶寶,ducklett,ducklett,ducklett,ducklett,./gifs/shiny/ducklett.gif
dugtrio-alola,,./gifs/clear/dugtrio-alola.gif,./gifs/blacked/dugtrio-alola.gif,0.0,alola,dugtrio alola,dugtrio alola,dugtrio alola,dugtrio alola,dugtrio alola,dugtrio alola,dugtrio alola,dugtrio alola,dugtrio alola,./gifs/shiny/dugtrio-alola.gif
dugtrio,51.0,./gifs/clear/dugtrio.gif,./gifs/blacked/dugtrio.gif,0.0,kanto,digdri,triopikeur,ダグトリオ,닥트리오,三地鼠,dugtrio,dugtrio,dugtrio,dugtrio,./gifs/shiny/dugtrio.gif
dunsparce,206.0,./gifs/clear/dunsparce.gif,./gifs/blacked/dunsparce.gif,0.0,johto,dummisel,insolourdo,ノコッチ,노고치,土龍弟弟,dunsparce,dunsparce,dunsparce,dunsparce,./gifs/shiny/dunsparce.gif
duosion,578.0,./gifs/clear/duosion.gif,./gifs/blacked/duosion.gif,0.0,unova,mitodos,méios,ダブラン,듀란,雙卵細胞球,duosion,duosion,duosion,duosion,./gifs/shiny/duosion.gif
duraludon-gigantamax,,./gifs/clear/duraludon-gigantamax.gif,./gifs/blacked/duraludon-gigantamax.gif,0.0,gmax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,duraludon gigantamax,./gifs/shiny/duraludon-gigantamax.gif
duraludon,884.0,./gifs/clear/duraludon.gif,./gifs/blacked/duraludon.gif,0.0,other,duraludon,duralugon,ジュラルドン,두랄루돈,鋁鋼龍,duraludon,duraludon,duraludon,duraludon,./gifs/shiny/duraludon.gif
durant,632.0,./gifs/clear/durant.gif,./gifs/blacked/durant.gif,0.0,unova,fermicula,fermite,アイアント,아이앤트,鐵蟻,durant,durant,durant,durant,./gifs/shiny/durant.gif
dusclops,356.0,./gifs/clear/dusclops.gif,./gifs/blacked/dusclops.gif,0.0,hoenn,zwirrklop,téraclope,サマヨール,미라몽,彷徨夜靈,dusclops,dusclops,dusclops,dusclops,./gifs/shiny/dusclops.gif
dusknoir,477.0,./gifs/clear/dusknoir.gif,./gifs/blacked/dusknoir.gif,0.0,other,zwirrfinst,noctunoir,ヨノワール,야느와르몽,黑夜魔靈,dusknoir,dusknoir,dusknoir,dusknoir,./gifs/shiny/dusknoir.gif
duskull,355.0,./gifs/clear/duskull.gif,./gifs/blacked/duskull.gif,0.0,hoenn,zwirrlicht,skelénox,ヨマワル,해골몽,夜巡靈,duskull,duskull,duskull,duskull,./gifs/shiny/duskull.gif
dustox,269.0,./gifs/clear/dustox.gif,./gifs/blacked/dustox.gif,0.0,hoenn,pudox,papinox,ドクケイル,독케일,毒粉蛾,dustox,dustox,dustox,dustox,./gifs/shiny/dustox.gif
dwebble,557.0,./gifs/clear/dwebble.gif,./gifs/blacked/dwebble.gif,0.0,unova,lithomith,crabicoque,イシズマイ,돌살이,石居蟹,dwebble,dwebble,dwebble,dwebble,./gifs/shiny/dwebble.gif
eelektrik,603.0,./gifs/clear/eelektrik.gif,./gifs/blacked/eelektrik.gif,0.0,unova,zapplalek,lampéroie,シビビール,저리릴,麻麻鰻,eelektrik,eelektrik,eelektrik,eelektrik,./gifs/shiny/eelektrik.gif
eelektross,604.0,./gifs/clear/eelektross.gif,./gifs/blacked/eelektross.gif,0.0,unova,zapplarang,ohmassacre,シビルドン,저리더프,麻麻鰻魚王,eelektross,eelektross,eelektross,eelektross,./gifs/shiny/eelektross.gif
eevee-gigantamax,,./gifs/clear/eevee-gigantamax.gif,./gifs/blacked/eevee-gigantamax.gif,0.0,gmax,eevee gigantamax,eevee gigantamax,eevee gigantamax,eevee gigantamax,eevee gigantamax,eevee gigantamax,eevee gigantamax,eevee gigantamax,eevee gigantamax,./gifs/shiny/eevee-gigantamax.gif
eevee,133.0,./gifs/clear/eevee.gif,./gifs/blacked/eevee.gif,0.0,kanto,evoli,évoli,イーブイ,이브이,伊布,eevee,eevee,eevee,eevee,./gifs/shiny/eevee.gif
eiscue-noice-face,,./gifs/clear/eiscue-noice-face.gif,./gifs/blacked/eiscue-noice-face.gif,,other,eiscue noice face,eiscue noice face,eiscue noice face,eiscue noice face,eiscue noice face,eiscue noice face,eiscue noice face,eiscue noice face,eiscue noice face,./gifs/shiny/eiscue-noice-face.gif
eiscue,875.0,./gifs/clear/eiscue.gif,./gifs/blacked/eiscue.gif,0.0,other,kubuin,bekaglaçon,コオリッポ,빙큐보,冰砌鵝,eiscue,eiscue,eiscue,eiscue,./gifs/shiny/eiscue.gif
ekans,23.0,./gifs/clear/ekans.gif,./gifs/blacked/ekans.gif,0.0,kanto,rettan,abo,アーボ,아보,阿柏蛇,ekans,ekans,ekans,ekans,./gifs/shiny/ekans.gif
eldegoss,830.0,./gifs/clear/eldegoss.gif,./gifs/blacked/eldegoss.gif,0.0,other,cottomi,blancoton,ワタシラガ,백솜모카,白蓬蓬,eldegoss,eldegoss,eldegoss,eldegoss,./gifs/shiny/eldegoss.gif
electabuzz,125.0,./gifs/clear/electabuzz.gif,./gifs/blacked/electabuzz.gif,0.0,kanto,elektek,élektek,エレブー,에레브,電擊獸,electabuzz,electabuzz,electabuzz,electabuzz,./gifs/shiny/electabuzz.gif
electivire,466.0,./gifs/clear/electivire.gif,./gifs/blacked/electivire.gif,0.0,other,elevoltek,élekable,エレキブル,에레키블,電擊魔獸,electivire,electivire,electivire,electivire,./gifs/shiny/electivire.gif
electrike,309.0,./gifs/clear/electrike.gif,./gifs/blacked/electrike.gif,0.0,hoenn,frizelbliz,dynavolt,ラクライ,썬더라이,落雷獸,electrike,electrike,electrike,electrike,./gifs/shiny/electrike.gif
electrode,101.0,./gifs/clear/electrode.gif,./gifs/blacked/electrode.gif,0.0,kanto,lektrobal,électrode,マルマイン,붐볼,頑皮雷彈,electrode,electrode,electrode,electrode,./gifs/shiny/electrode.gif
elekid,239.0,./gifs/clear/elekid.gif,./gifs/blacked/elekid.gif,0.0,johto,elekid,élekid,エレキッド,에레키드,電擊怪,elekid,elekid,elekid,elekid,./gifs/shiny/elekid.gif
elgyem,605.0,./gifs/clear/elgyem.gif,./gifs/blacked/elgyem.gif,0.0,unova,pygraulon,lewsor,リグレー,리그레,小灰怪,elgyem,elgyem,elgyem,elgyem,./gifs/shiny/elgyem.gif
emboar,500.0,./gifs/clear/emboar.gif,./gifs/blacked/emboar.gif,0.0,unova,flambirex,roitiflam,エンブオー,염무왕,炎武王,emboar,emboar,emboar,emboar,./gifs/shiny/emboar.gif
emolga,587.0,./gifs/clear/emolga.gif,./gifs/blacked/emolga.gif,0.0,unova,emolga,emolga,エモンガ,에몽가,電飛鼠,emolga,emolga,emolga,emolga,./gifs/shiny/emolga.gif
empoleon,395.0,./gifs/clear/empoleon.gif,./gifs/blacked/empoleon.gif,0.0,other,impoleon,pingoléon,エンペルト,엠페르트,帝王拿波,empoleon,empoleon,empoleon,empoleon,./gifs/shiny/empoleon.gif
entei,244.0,./gifs/clear/entei.gif,./gifs/blacked/entei.gif,0.0,johto,entei,entei,エンテイ,앤테이,炎帝,entei,entei,entei,entei,./gifs/shiny/entei.gif
escavalier,589.0,./gifs/clear/escavalier.gif,./gifs/blacked/escavalier.gif,0.0,unova,cavalanzas,lançargot,シュバルゴ,슈바르고,騎士蝸牛,escavalier,escavalier,escavalier,escavalier,./gifs/shiny/escavalier.gif
espeon,196.0,./gifs/clear/espeon.gif,./gifs/blacked/espeon.gif,0.0,johto,psiana,mentali,エーフィ,에브이,太陽伊布,espeon,espeon,espeon,espeon,./gifs/shiny/espeon.gif
espurr,677.0,./gifs/clear/espurr.gif,./gifs/blacked/espurr.gif,0.0,kalos,psiau,psystigri,ニャスパー,냐스퍼,妙喵,espurr,espurr,espurr,espurr,./gifs/shiny/espurr.gif
eternamax-eternatus,,./gifs/clear/eternatus-eternamax.gif,./gifs/blacked/eternatus-eternamax.gif,,other,eternamax eternatus,eternamax eternatus,eternamax eternatus,eternamax eternatus,eternamax eternatus,eternamax eternatus,eternamax eternatus,eternamax eternatus,eternamax eternatus,./gifs/shiny/eternatus-eternamax.gif
eternatus,890.0,./gifs/clear/eternatus.gif,./gifs/blacked/eternatus.gif,0.0,other,endynalos,éthernatos,ムゲンダイナ,무한다이노,無極汰那,eternatus,eternatus,eternatus,eternatus,./gifs/shiny/eternatus.gif
excadrill,530.0,./gifs/clear/excadrill.gif,./gifs/blacked/excadrill.gif,0.0,unova,stalobor,minotaupe,ドリュウズ,몰드류,龍頭地鼠,excadrill,excadrill,excadrill,excadrill,./gifs/shiny/excadrill.gif
exeggcute,102.0,./gifs/clear/exeggcute.gif,./gifs/blacked/exeggcute.gif,0.0,kanto,owei,noeunoeuf,タマタマ,아라리,蛋蛋,exeggcute,exeggcute,exeggcute,exeggcute,./gifs/shiny/exeggcute.gif
exeggutor-alola,,./gifs/clear/exeggutor-alola.gif,./gifs/blacked/exeggutor-alola.gif,0.0,alola,exeggutor alola,exeggutor alola,exeggutor alola,exeggutor alola,exeggutor alola,exeggutor alola,exeggutor alola,exeggutor alola,exeggutor alola,./gifs/shiny/exeggutor-alola.gif
exeggutor,103.0,./gifs/clear/exeggutor.gif,./gifs/blacked/exeggutor.gif,0.0,kanto,kokowei,noadkoko,ナッシー,나시,椰蛋樹,exeggutor,exeggutor,exeggutor,exeggutor,./gifs/shiny/exeggutor.gif
exploud,295.0,./gifs/clear/exploud.gif,./gifs/blacked/exploud.gif,0.0,hoenn,krawumms,brouhabam,バクオング,폭음룡,爆音怪,exploud,exploud,exploud,exploud,./gifs/shiny/exploud.gif
falinks,870.0,./gifs/clear/falinks.gif,./gifs/blacked/falinks.gif,0.0,other,legios,hexadron,タイレーツ,대여르,列陣兵,falinks,falinks,falinks,falinks,./gifs/shiny/falinks.gif
farfetch'd-galar,,./gifs/clear/farfetchd-galar.gif,./gifs/blacked/farfetchd-galar.gif,,galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,farfetch'd galar,./gifs/shiny/farfetchd-galar.gif
farfetch'd,,./gifs/clear/farfetchd.gif,./gifs/blacked/farfetchd.gif,,other,farfetch'd,farfetch'd,farfetch'd,farfetch'd,farfetch'd,farfetch'd,farfetch'd,farfetch'd,farfetch'd,./gifs/shiny/farfetchd.gif
fearow,22.0,./gifs/clear/fearow.gif,./gifs/blacked/fearow.gif,0.0,kanto,ibitak,rapasdepic,オニドリル,깨비드릴조,大嘴雀,fearow,fearow,fearow,fearow,./gifs/shiny/fearow.gif
feebas,349.0,./gifs/clear/feebas.gif,./gifs/blacked/feebas.gif,0.0,hoenn,barschwa,barpau,ヒンバス,빈티나,醜醜魚,feebas,feebas,feebas,feebas,./gifs/shiny/feebas.gif
fennekin,653.0,./gifs/clear/fennekin.gif,./gifs/blacked/fennekin.gif,0.0,kalos,fynx,feunnec,フォッコ,푸호꼬,火狐狸,fennekin,fennekin,fennekin,fennekin,./gifs/shiny/fennekin.gif
feraligatr,160.0,./gifs/clear/feraligatr.gif,./gifs/blacked/feraligatr.gif,0.0,johto,impergator,aligatueur,オーダイル,장크로다일,大力鱷,feraligatr,feraligatr,feraligatr,feraligatr,./gifs/shiny/feraligatr.gif
ferroseed,597.0,./gifs/clear/ferroseed.gif,,0.0,unova,kastadur,grindur,テッシード,철시드,種子鐵球,ferroseed,ferroseed,ferroseed,ferroseed,./gifs/shiny/ferroseed.gif
ferrothorn,598.0,./gifs/clear/ferrothorn.gif,./gifs/blacked/ferrothorn.gif,0.0,unova,tentantel,noacier,ナットレイ,너트령,堅果啞鈴,ferrothorn,ferrothorn,ferrothorn,ferrothorn,./gifs/shiny/ferrothorn.gif
finneon,456.0,./gifs/clear/finneon.gif,./gifs/blacked/finneon.gif,0.0,other,finneon,écayon,ケイコウオ,형광어,螢光魚,finneon,finneon,finneon,finneon,./gifs/shiny/finneon.gif
flaaffy,180.0,./gifs/clear/flaaffy.gif,./gifs/blacked/flaaffy.gif,0.0,johto,waaty,lainergie,モココ,보송송,茸茸羊,flaaffy,flaaffy,flaaffy,flaaffy,./gifs/shiny/flaaffy.gif
flabébé,,./gifs/clear/flabebe.gif,./gifs/blacked/flabebe.gif,,other,flabébé,flabébé,flabébé,flabébé,flabébé,flabébé,flabébé,flabébé,flabébé,./gifs/shiny/flabebe.gif
flapple-gigantamax,,./gifs/clear/flapple-gigantamax.gif,./gifs/blacked/flapple-gigantamax.gif,0.0,gmax,flapple gigantamax,flapple gigantamax,flapple gigantamax,flapple gigantamax,flapple gigantamax,flapple gigantamax,flapple gigantamax,flapple gigantamax,flapple gigantamax,./gifs/shiny/flapple-gigantamax.gif
flapple,841.0,./gifs/clear/flapple.gif,./gifs/blacked/flapple.gif,0.0,other,drapfel,pomdrapi,アップリュー,애프룡,蘋裹龍,flapple,flapple,flapple,flapple,./gifs/shiny/flapple.gif
flareon,136.0,./gifs/clear/flareon.gif,./gifs/blacked/flareon.gif,0.0,kanto,flamara,pyroli,ブースター,부스터,火伊布,flareon,flareon,flareon,flareon,./gifs/shiny/flareon.gif
fletchinder,662.0,./gifs/clear/fletchinder.gif,./gifs/blacked/fletchinder.gif,0.0,kalos,dartignis,braisillon,ヒノヤコマ,불화살빈,火箭雀,fletchinder,fletchinder,fletchinder,fletchinder,./gifs/shiny/fletchinder.gif
fletchling,661.0,./gifs/clear/fletchling.gif,./gifs/blacked/fletchling.gif,0.0,kalos,dartiri,passerouge,ヤヤコマ,화살꼬빈,小箭雀,fletchling,fletchling,fletchling,fletchling,./gifs/shiny/fletchling.gif
floatzel,419.0,./gifs/clear/floatzel.gif,./gifs/blacked/floatzel.gif,0.0,other,bojelin,mustéflott,フローゼル,플로젤,浮潛鼬,floatzel,floatzel,floatzel,floatzel,./gifs/shiny/floatzel.gif
floette,670.0,./gifs/clear/floette.gif,./gifs/blacked/floette.gif,0.0,kalos,floette,floette,フラエッテ,플라엣테,花葉蒂,floette,floette,floette,floette,./gifs/shiny/floette.gif
florges,671.0,./gifs/clear/florges.gif,./gifs/blacked/florges.gif,0.0,kalos,florges,florges,フラージェス,플라제스,花潔夫人,florges,florges,florges,florges,./gifs/shiny/florges.gif
flygon,330.0,./gifs/clear/flygon.gif,./gifs/blacked/flygon.gif,0.0,hoenn,libelldra,libégon,フライゴン,플라이곤,沙漠蜻蜓,flygon,flygon,flygon,flygon,./gifs/shiny/flygon.gif
fomantis,753.0,./gifs/clear/fomantis.gif,./gifs/blacked/fomantis.gif,0.0,alola,imantis,mimantis,カリキリ,짜랑랑,偽螳草,fomantis,fomantis,fomantis,fomantis,./gifs/shiny/fomantis.gif
foongus,590.0,./gifs/clear/foongus.gif,./gifs/blacked/foongus.gif,0.0,unova,tarnpignon,trompignon,タマゲタケ,깜놀버슬,哎呀球菇,foongus,foongus,foongus,foongus,./gifs/shiny/foongus.gif
forretress,205.0,./gifs/clear/forretress.gif,./gifs/blacked/forretress.gif,0.0,johto,forstellka,foretress,フォレトス,쏘콘,佛烈托斯,forretress,forretress,forretress,forretress,./gifs/shiny/forretress.gif
fraxure,611.0,./gifs/clear/fraxure.gif,./gifs/blacked/fraxure.gif,0.0,unova,sharfax,incisache,オノンド,액슨도,斧牙龍,fraxure,fraxure,fraxure,fraxure,./gifs/shiny/fraxure.gif
frillish,592.0,./gifs/clear/frillish.gif,./gifs/blacked/frillish.gif,0.0,unova,quabbel,viskuse,プルリル,탱그릴,輕飄飄,frillish,frillish,frillish,frillish,./gifs/shiny/frillish.gif
froakie,656.0,./gifs/clear/froakie.gif,./gifs/blacked/froakie.gif,0.0,kalos,froxy,grenousse,ケロマツ,개구마르,呱呱泡蛙,froakie,froakie,froakie,froakie,./gifs/shiny/froakie.gif
frogadier,657.0,./gifs/clear/frogadier.gif,./gifs/blacked/frogadier.gif,0.0,kalos,amphizel,croâporal,ゲコガシラ,개굴반장,呱頭蛙,frogadier,frogadier,frogadier,frogadier,./gifs/shiny/frogadier.gif
froslass,478.0,./gifs/clear/froslass.gif,./gifs/blacked/froslass.gif,0.0,other,frosdedje,momartik,ユキメノコ,눈여아,雪妖女,froslass,froslass,froslass,froslass,./gifs/shiny/froslass.gif
frosmoth,873.0,./gifs/clear/frosmoth.gif,./gifs/blacked/frosmoth.gif,0.0,other,mottineva,beldeneige,モスノウ,모스노우,雪絨蛾,frosmoth,frosmoth,frosmoth,frosmoth,./gifs/shiny/frosmoth.gif
furfrou-dandy,,./gifs/clear/furfrou-dandy.gif,./gifs/blacked/furfrou-dandy.gif,,other,furfrou dandy,furfrou dandy,furfrou dandy,furfrou dandy,furfrou dandy,furfrou dandy,furfrou dandy,furfrou dandy,furfrou dandy,./gifs/shiny/furfrou-dandy.gif
furfrou-debutante,,./gifs/clear/furfrou-debutante.gif,./gifs/blacked/furfrou-debutante.gif,,other,furfrou debutante,furfrou debutante,furfrou debutante,furfrou debutante,furfrou debutante,furfrou debutante,furfrou debutante,furfrou debutante,furfrou debutante,./gifs/shiny/furfrou-debutante.gif
furfrou-diamond,,./gifs/clear/furfrou-diamond.gif,./gifs/blacked/furfrou-diamond.gif,,other,furfrou diamond,furfrou diamond,furfrou diamond,furfrou diamond,furfrou diamond,furfrou diamond,furfrou diamond,furfrou diamond,furfrou diamond,./gifs/shiny/furfrou-diamond.gif
furfrou-heart,,./gifs/clear/furfrou-heart.gif,./gifs/blacked/furfrou-heart.gif,,other,furfrou heart,furfrou heart,furfrou heart,furfrou heart,furfrou heart,furfrou heart,furfrou heart,furfrou heart,furfrou heart,./gifs/shiny/furfrou-heart.gif
furfrou-kabuki,,./gifs/clear/furfrou-kabuki.gif,./gifs/blacked/furfrou-kabuki.gif,,other,furfrou kabuki,furfrou kabuki,furfrou kabuki,furfrou kabuki,furfrou kabuki,furfrou kabuki,furfrou kabuki,furfrou kabuki,furfrou kabuki,./gifs/shiny/furfrou-kabuki.gif
furfrou-le-reine,,./gifs/clear/furfrou-lareine.gif,./gifs/blacked/furfrou-lareine.gif,,other,furfrou le reine,furfrou le reine,furfrou le reine,furfrou le reine,furfrou le reine,furfrou le reine,furfrou le reine,furfrou le reine,furfrou le reine,./gifs/shiny/furfrou-lareine.gif
furfrou-matron,,./gifs/clear/furfrou-matron.gif,./gifs/blacked/furfrou-matron.gif,,other,furfrou matron,furfrou matron,furfrou matron,furfrou matron,furfrou matron,furfrou matron,furfrou matron,furfrou matron,furfrou matron,./gifs/shiny/furfrou-matron.gif
furfrou-pharoah,,./gifs/clear/furfrou-pharaoh.gif,./gifs/blacked/furfrou-pharaoh.gif,,other,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,furfrou pharaoh,./gifs/shiny/furfrou-pharaoh.gif
furfrou-star,,./gifs/clear/furfrou-star.gif,,,other,furfrou star,furfrou star,furfrou star,furfrou star,furfrou star,furfrou star,furfrou star,furfrou star,furfrou star,./gifs/shiny/furfrou-star.gif
furret,162.0,./gifs/clear/furret.gif,./gifs/blacked/furret.gif,0.0,johto,wiesenior,fouinar,オオタチ,다꼬리,大尾立,furret,furret,furret,furret,./gifs/shiny/furret.gif
gabite,444.0,./gifs/clear/gabite.gif,./gifs/blacked/gabite.gif,0.0,other,knarksel,carmache,ガバイト,한바이트,尖牙陸鯊,gabite,gabite,gabite,gabite,./gifs/shiny/gabite.gif
gallade-mega,,./gifs/clear/gallade-mega.gif,./gifs/blacked/gallade-mega.gif,,mega,gallade mega,gallade mega,gallade mega,gallade mega,gallade mega,gallade mega,gallade mega,gallade mega,gallade mega,./gifs/shiny/gallade-mega.gif
gallade,475.0,./gifs/clear/gallade.gif,./gifs/blacked/gallade.gif,0.0,other,galagladi,gallame,エルレイド,엘레이드,艾路雷朵,gallade,gallade,gallade,gallade,./gifs/shiny/gallade.gif
galvantula,596.0,./gifs/clear/galvantula.gif,./gifs/blacked/galvantula.gif,0.0,unova,voltula,mygavolt,デンチュラ,전툴라,電蜘蛛,galvantula,galvantula,galvantula,galvantula,./gifs/shiny/galvantula.gif
garbodor-gigantamax,,./gifs/clear/garbodor-gigantamax.gif,./gifs/blacked/garbodor-gigantamax.gif,0.0,gmax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,garbodor gigantamax,./gifs/shiny/garbodor-gigantamax.gif
garbodor,569.0,./gifs/clear/garbodor.gif,./gifs/blacked/garbodor.gif,0.0,unova,deponitox,miasmax,ダストダス,더스트나,灰塵山,garbodor,garbodor,garbodor,garbodor,./gifs/shiny/garbodor.gif
garchomp-mega,,./gifs/clear/garchomp-mega.gif,./gifs/blacked/garchomp-mega.gif,0.0,mega,garchomp mega,garchomp mega,garchomp mega,garchomp mega,garchomp mega,garchomp mega,garchomp mega,garchomp mega,garchomp mega,./gifs/shiny/garchomp-mega.gif
garchomp,445.0,./gifs/clear/garchomp.gif,./gifs/blacked/garchomp.gif,0.0,other,knakrack,carchacrok,ガブリアス,한카리아스,烈咬陸鯊,garchomp,garchomp,garchomp,garchomp,./gifs/shiny/garchomp.gif
gardevoir-mega,,./gifs/clear/gardevoir-mega.gif,./gifs/blacked/gardevoir-mega.gif,0.0,mega,gardevoir mega,gardevoir mega,gardevoir mega,gardevoir mega,gardevoir mega,gardevoir mega,gardevoir mega,gardevoir mega,gardevoir mega,./gifs/shiny/gardevoir-mega.gif
gardevoir,282.0,./gifs/clear/gardevoir.gif,./gifs/blacked/gardevoir.gif,0.0,hoenn,guardevoir,gardevoir,サーナイト,가디안,沙奈朵,gardevoir,gardevoir,gardevoir,gardevoir,./gifs/shiny/gardevoir.gif
gastly,92.0,./gifs/clear/gastly.gif,./gifs/blacked/gastly.gif,0.0,kanto,nebulak,fantominus,ゴース,고오스,鬼斯,gastly,gastly,gastly,gastly,./gifs/shiny/gastly.gif
gastrodon,423.0,./gifs/clear/gastrodon.gif,./gifs/blacked/gastrodon.gif,0.0,other,gastrodon,tritosor,トリトドン,트리토돈,海兔獸,gastrodon,gastrodon,gastrodon,gastrodon,./gifs/shiny/gastrodon.gif
genesect,649.0,./gifs/clear/genesect.gif,./gifs/blacked/genesect.gif,0.0,unova,genesect,genesect,ゲノセクト,게노세크트,蓋諾賽克特,genesect,genesect,genesect,genesect,./gifs/shiny/genesect.gif
gengar-gigantamax,,./gifs/clear/gengar-gigantamax.gif,./gifs/blacked/gengar-gigantamax.gif,0.0,gmax,gengar gigantamax,gengar gigantamax,gengar gigantamax,gengar gigantamax,gengar gigantamax,gengar gigantamax,gengar gigantamax,gengar gigantamax,gengar gigantamax,./gifs/shiny/gengar-gigantamax.gif
gengar-mega,,./gifs/clear/gengar-mega.gif,./gifs/blacked/gengar-mega.gif,0.0,mega,gengar mega,gengar mega,gengar mega,gengar mega,gengar mega,gengar mega,gengar mega,gengar mega,gengar mega,./gifs/shiny/gengar-mega.gif
gengar,94.0,./gifs/clear/gengar.gif,./gifs/blacked/gengar.gif,0.0,kanto,gengar,ectoplasma,ゲンガー,팬텀,耿鬼,gengar,gengar,gengar,gengar,./gifs/shiny/gengar.gif
geodude-alola,,./gifs/clear/geodude-alola.gif,./gifs/blacked/geodude-alola.gif,0.0,alola,geodude alola,geodude alola,geodude alola,geodude alola,geodude alola,geodude alola,geodude alola,geodude alola,geodude alola,./gifs/shiny/geodude-alola.gif
geodude,74.0,./gifs/clear/geodude.gif,./gifs/blacked/geodude.gif,0.0,kanto,kleinstein,racaillou,イシツブテ,꼬마돌,小拳石,geodude,geodude,geodude,geodude,./gifs/shiny/geodude.gif
gible,443.0,./gifs/clear/gible.gif,./gifs/blacked/gible.gif,0.0,other,kaumalat,griknot,フカマル,딥상어동,圓陸鯊,gible,gible,gible,gible,./gifs/shiny/gible.gif
gigalith,526.0,./gifs/clear/gigalith.gif,./gifs/blacked/gigalith.gif,0.0,unova,brockoloss,gigalithe,ギガイアス,기가이어스,龐岩怪,gigalith,gigalith,gigalith,gigalith,./gifs/shiny/gigalith.gif
girafarig,203.0,./gifs/clear/girafarig.gif,./gifs/blacked/girafarig.gif,0.0,johto,girafarig,girafarig,キリンリキ,키링키,麒麟奇,girafarig,girafarig,girafarig,girafarig,./gifs/shiny/girafarig.gif
giratina-origin,,./gifs/clear/giratina-origin.gif,./gifs/blacked/giratina-origin.gif,,other,giratina origin,giratina origin,giratina origin,giratina origin,giratina origin,giratina origin,giratina origin,giratina origin,giratina origin,./gifs/shiny/giratina-origin.gif
giratina,487.0,./gifs/clear/giratina.gif,./gifs/blacked/giratina.gif,0.0,other,giratina,giratina,ギラティナ,기라티나,騎拉帝納,giratina,giratina,giratina,giratina,./gifs/shiny/giratina.gif
glaceon,471.0,./gifs/clear/glaceon.gif,./gifs/blacked/glaceon.gif,0.0,other,glaziola,givrali,グレイシア,글레이시아,冰伊布,glaceon,glaceon,glaceon,glaceon,./gifs/shiny/glaceon.gif
glalie-mega,,./gifs/clear/glalie-mega.gif,./gifs/blacked/glalie-mega.gif,,mega,glalie mega,glalie mega,glalie mega,glalie mega,glalie mega,glalie mega,glalie mega,glalie mega,glalie mega,./gifs/shiny/glalie-mega.gif
glalie,362.0,./gifs/clear/glalie.gif,./gifs/blacked/glalie.gif,0.0,hoenn,firnontor,oniglali,オニゴーリ,얼음귀신,冰鬼護,glalie,glalie,glalie,glalie,./gifs/shiny/glalie.gif
glameow,431.0,./gifs/clear/glameow.gif,./gifs/blacked/glameow.gif,0.0,other,charmian,chaglam,ニャルマー,나옹마,魅力喵,glameow,glameow,glameow,glameow,./gifs/shiny/glameow.gif
glastrier,896.0,./gifs/clear/glastrier.gif,./gifs/blacked/glastrier.gif,0.0,other,polaross,blizzeval,ブリザポス,블리자포스,雪暴馬,glastrier,glastrier,glastrier,glastrier,./gifs/shiny/glastrier.gif
gligar,207.0,./gifs/clear/gligar.gif,./gifs/blacked/gligar.gif,0.0,johto,skorgla,scorplane,グライガー,글라이거,天蠍,gligar,gligar,gligar,gligar,./gifs/shiny/gligar.gif
gliscor,472.0,./gifs/clear/gliscor.gif,./gifs/blacked/gliscor.gif,0.0,other,skorgro,scorvol,グライオン,글라이온,天蠍王,gliscor,gliscor,gliscor,gliscor,./gifs/shiny/gliscor.gif
gloom,44.0,./gifs/clear/gloom.gif,./gifs/blacked/gloom.gif,0.0,kanto,duflor,ortide,クサイハナ,냄새꼬,臭臭花,gloom,gloom,gloom,gloom,./gifs/shiny/gloom.gif
gogoat,673.0,./gifs/clear/gogoat.gif,./gifs/blacked/gogoat.gif,0.0,kalos,chevrumm,chevroum,ゴーゴート,고고트,坐騎山羊,gogoat,gogoat,gogoat,gogoat,./gifs/shiny/gogoat.gif
golbat,42.0,./gifs/clear/golbat.gif,./gifs/blacked/golbat.gif,0.0,kanto,golbat,nosferalto,ゴルバット,골뱃,大嘴蝠,golbat,golbat,golbat,golbat,./gifs/shiny/golbat.gif
goldeen,118.0,./gifs/clear/goldeen.gif,./gifs/blacked/goldeen.gif,0.0,kanto,goldini,poissirène,トサキント,콘치,角金魚,goldeen,goldeen,goldeen,goldeen,./gifs/shiny/goldeen.gif
golduck,55.0,./gifs/clear/golduck.gif,./gifs/blacked/golduck.gif,0.0,kanto,entoron,akwakwak,ゴルダック,골덕,哥達鴨,golduck,golduck,golduck,golduck,./gifs/shiny/golduck.gif
